,0,1,2,3,4,5,6,7,8,9,10,11
571,RIC_4,ROA_5,RIC_6,CHO_7,RIC_8,ROA_9,RIC_10,ROA_11,RIC_12,ROA_13,,
572,CHS_8,CAE_9,CHS_10,CAE_11,CHS_12,GSP_13,,,,,,
573,ROA_10,RIC_11,ROA_12,,,,,,,,,
574,RIC_5,ROA_6,RIC_7,CHO_8,,,,,,,,
575,ROA_7,RIC_8,CHO_9,,,,,,,,,
576,GSP_7,CHS_8,CAE_9,CHS_10,,,,,,,,
577,GSP_4,CHS_5,GSP_6,CHS_7,CAE_8,CHS_9,CAE_10,CHS_11,,,,
578,ROA_5,RIC_6,CHO_7,RIC_8,ROA_9,CHO_10,RIC_11,,,,,
579,CHO_3,RIC_4,MYR_5,CAE_6,CHS_7,CAE_8,CHS_9,,,,,
580,ROA_6,RIC_7,CHO_8,RIC_9,CHO_10,RIC_11,ROA_12,,,,,
581,GSP_2,CHS_3,CAE_4,CHS_5,CAE_6,,,,,,,
582,CHO_4,RIC_5,CHO_6,RIC_7,ROA_8,RIC_9,ROA_10,RIC_11,CHO_12,,,
583,ROA_4,RIC_5,ROA_6,,,,,,,,,
584,RIC_5,ROA_6,RIC_7,,,,,,,,,
585,CHS_4,GSP_5,,,,,,,,,,
586,CHS_9,GSP_10,CHS_11,,,,,,,,,
587,CHO_10,RIC_11,CHO_12,,,,,,,,,
588,ROA_8,RIC_9,ROA_10,RIC_11,,,,,,,,
589,CHS_10,CAE_11,,,,,,,,,,
590,CAE_3,CHS_4,CAE_5,CHS_6,CAE_7,CHS_8,,,,,,
591,CHS_5,CAE_6,CHS_7,,,,,,,,,
592,CHO_3,RIC_4,MYR_5,CAE_6,,,,,,,,
593,CHS_6,CAE_7,CHS_8,CAE_9,CHS_10,,,,,,,
